قابلني,-1
الاحبي,-1
القرعه,-1
المره,-1
المنحوسة,-1
الهرمه,-1
جزمه,-1
جهل,-1
اتق,-1
اتقو,-1
اتقي,-1
اتقي,-1
اتكسف دمك,-1
اتكسفدمكم,-1
اتمسح,-1
البلاط,-1
عبره,-1
اجهل,-1
احترم,-1
اخبط دماغك فالحيط,-1
اخص ,-1
ارحمني بئه,-1
ارمي,-1
اسوء ,-1
اشباه,-1
زباله,-1
اشوف,-1
المصالح,-1
سوابق ,-1
اعداء,-1
اعوذ ,-1
اقر ونزهي,-1
اقل ,-1
البالأرزق,-1
الساكتق شيطاخرس,-1
الطين بله,-1
العب,-1
العوض,-1
الحمرا,-1
الغباء,-1
القضاء علي,-1
يخرب,-1
يلعن,-1
اخزه,-1
تتشك,-1
اختاشماتو,-1
المتاجره,-1
الجحيم,-1
زوال,-1
تستحي فأفعل ماشئت,-1
 استفدت ايه,-1
 غلطان,-1
 مشروخ,-1
 هنتحر,-1
مال امك,-1
ملكيش عازه,-1
انحلال اخلاقي,-1
اهبل برياله,-1
اهدار كرامه,-1
اولالات الادب,-1
بطيخ ,-1
,-1
ايام سوده,-1
أنت انشراح,-1
ايه اللي بتقوله ده,-1
إنتقم يارب,-1
إنسمشروخ ,-1
أنت فين انشراح,-1
أي بطيخ السلام,-1
بالعند,-1
بتا,-1
بتامصلحته,-1
بتامصلحه,-1
بتلاته مليم,-1
بتلحس جزم,-1
بتلعب علي,-1
بتلقح ,-1
بتومصالح,-1
بتومصلحتكم,-1
بتومصلحتهم,-1
بتومصلحه,-1
طعم,-1
محتوي,-1
بخوته,-1
بخيبه,-1
بهدف,-1
بوكسه,-1
بلاش قرف,-1
بن المره,-1
بنت جزمه,-1
بيضحك علي,-1
بيعيد يزيد,-1
بيلحس جزم,-1
بيلقح,-1
بيئه,-1
تاعب نفسه الفاضي,-1
تأنيب ضمير,-1
تبا,-1
تجار دين,-1
تجربه مريره,-1
تحرق الدم,-1
تحرقلي دمي,-1
تحس دمها,-1
تربية شوارع,-1
تشويه السمعه,-1
تصفية حسابات,-1
تصلب الشرايين,-1
تضحك ,-1
تطلعين,-1
تطلعينها,-1
تطلعينو,-1
تعبلي اعصابي,-1
منحط,-1
تقل دم,-1
تقيل قلبي,-1
توب  رب,-1
تيجي علي,-1
تيجي حد,-1
تيجي كرامتك,-1
تيجي نفسك,-1
اخره,-1
ضلفها,-1
ورا,-1
جاتنا نيله حظنا الهباب ,-1
جت دي,-1
جتك القرف,-1
جتك نيله,-1
جتكم القرف,-1
جتكم نيله,-1
جتكالقرف,-1
جتكنيله,-1
جتنا نيله,-1
جتنك خيبه,-1
جتنكم خيبه,-1
جتني خيبه,-1
جتها نيله,-1
جمهوريه الموز,-1
جن جنونه,-1
جن جنونها,-1
جنرسمي,-1
جنون العظمة,-1
جيت الجرح,-1
تجنن,-1
تعل,-1
تكسف,-1
غلط,-1
حافظ,-1
حرام,-1
حرقلي دمي,-1
حسبنا,-1
حسبنا ونعم الوكيل,-1
حموت بغيظي,-1
خطأ فادح,-1
خطوات كبيره للوراء,-1
خيال مآته,-1
خيبه أمل,-1
داهيه تاخدك,-1
دم تقيل,-1
دمه تقيل,-1
دمها تقيل,-1
دمهم تقيل,-1
دموتماسيح ,-1
آخره,-1
تماتش,-1
مستواكم,-1
دهيه تاخدك,-1
دون المستوى,-1
ذمتك استك,-1
ذمتكم استك,-1
ذمته استك,-1
اخطبوط,-1
ياخدك,-1
يخد,-1
يخدك,-1
يخدكم,-1
يخده,-1
يهده,-1
يهدي,-1
يهديك,-1
شمال,-1
رنوه علقه,-1
ريبورت سبام,-1
النيله,-1
ستين نيله,-1
سد نفسي,-1
سعر مجنون,-1
سعر مرتفع,-1
سفك الدماء,-1
سليط اللسان,-1
سوء الاداره,-1
سوء التصرف,-1
سوء الحظ,-1
سوء السلوك,-1
سوء السمعه,-1
سوء الفهم,-1
سوء سلوك,-1
سوء فهم,-1
سيء السمعه,-1
شايل,-1
شر البليه,-1
ضحك ,-1
ضرب الجزم,-1
ضرب تحت الحزام,-1
ضربه قفاه,-1
ضمايرها ماتت,-1
ضمايرهم ماتت,-1
ضميرها ميت,-1
ضيعت وقتي,-1
طابور خامس,-1
طامه كبري,-1
طب بالذمه,-1
طلعين,-1
طلععين,-1
